Title,Date,Description,Place,Location,Media,Source URL
Apple Computer is incorporated,03/01/1977,"Apple Computer, Inc. was incorporated on January 3, 1977, without Wayne, who had left and sold his share of the company back to Jobs and Wozniak for $800 only twelve days after having co-founded Apple.","Los Altos, California","37.386663, -122.114176",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/80px-Apple_logo_black.svg.png,https://en.wikipedia.org/wiki/Apple_Inc.
Microsoft is named,02/01/1975,"Gates and Allen established Microsoft on April 4, 1975, with Gates as the CEO,and Allen suggested the name ""Micro-Soft"", short for micro-computer software.Microsoft entered the operating system (OS) business in 1980 with its own version of Unix called Xenix, but it was MS-DOS that solidified the company's dominance.","Albuquerque, New Mexico","35.085700, -106.651080",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/220px-Microsoft_logo_%282012%29.svg.png,https://en.wikipedia.org/wiki/Microsoft
HP introduces the HP-35,04/01/1972,The HP-35 was Hewlett-Packard's first pocket calculator and the world's first scientific pocket calculator: a calculator with trigonometric and exponential functions.,"San Jose, California","37.432636, -121.981116",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/HP-35_Red_Dot.jpg/440px-HP-35_Red_Dot.jpg,https://en.wikipedia.org/wiki/HP-35
Lisa is introduced by Apple Computer,19/01/1983,"It is one of the first personal computers to present a graphical user interface (GUI) in a machine aimed at individual business users. Development of the Lisa began in 1978, and it underwent many changes during the development period before shipping at US$9,995 with a five-megabyte hard drive.","Coupertino, California, United States","37.336573, -122.009048",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Apple_Lisa.jpg/600px-Apple_Lisa.jpg,https://en.wikipedia.org/wiki/Apple_Lisa
Robert Williams a fatality of a robot,25/01/1979,"The robot was designed to retrieve castings from high density storage shelves at the Flat Rock plant. Part of the machine included one-ton transfer vehicles, which were carts on rubber wheels equipped with mechanical arms to move castings to and from the shelves. When the robot gave erroneous inventory readings, Williams was asked to climb into the racks to retrieve parts manually.","Flat Rock, Michingan, United States","42.104356, -83.247409",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/FORD_MOTOR_COMPANY%27S_NEW_CASTING_PLANT_AT_FLAT_ROCK_-_NARA_-_549726.tif/lossy-page1-660px-FORD_MOTOR_COMPANY%27S_NEW_CASTING_PLANT_AT_FLAT_ROCK_-_NARA_-_549726.tif.jpg,https://en.wikipedia.org/wiki/Robert_Williams_(robot_fatality)
Inventor of the mouse is born,30/01/1925,"Engelbart applied for a patent in 1967 and received it in 1970, for the wooden shell with two metal wheels (computer mouse – U.S. Patent 3,541,541), which he had developed with Bill English, his lead engineer, sometime before 1965. In the patent application it is described as an ""X-Y position indicator for a display system"". Engelbart later revealed that it was nicknamed the ""mouse"" because the tail came out the end. His group also called the on-screen cursor a ""bug"", but this term was not widely adopted.","Portland, Oregon","45.500997, -122.676327",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Douglas_Engelbart_in_2008.jpg/440px-Douglas_Engelbart_in_2008.jpg,https://en.wikipedia.org/wiki/Douglas_Engelbart
Apple Macintosh is released,24/01/1984,"The Macintosh is the first successful mass-market personal computer to have featured a graphical user interface, built-in screen, and mouse. Apple sold the Macintosh alongside its popular Apple II family of computers for almost ten years until the latter was discontinued in 1993.","Coupertino, California, United States","37.333647, -122.010075",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Macintosh_128k_transparency.png/440px-Macintosh_128k_transparency.png,https://en.wikipedia.org/wiki/Macintosh
Java is introduced by Sun Microsystems,01/02/1991,"Java is a general-purpose programming language that is class-based, object-oriented, and designed to have as few implementation dependencies as possible. It is intended to let application developers write once, run anywhere (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation. Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of the underlying computer architecture.","Redwood Shores, California, United States","37.529738, -122.265727",https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Java_programming_language_logo.svg/283px-Java_programming_language_logo.svg.png,https://en.wikipedia.org/wiki/Java_(programming_language)
Deep Blue IBM computer beats Kasparov chess world champion,10/02/1996,Deep Blue was a chess-playing computer developed by IBM. It is known for being the first computer chess-playing system to win both a chess game and a chess match against a reigning world champion under regular time controls.,"Silicon Valley, San Francisco, United States","37.410694, -122.059732",https://upload.wikimedia.org/wikipedia/commons/b/be/Deep_Blue.jpg,https://en.wikipedia.org/wiki/Deep_Blue_(chess_computer)
IBM SSEC is created,10/02/1948,"The IBM Selective Sequence Electronic Calculator (SSEC) was an electromechanical computer built by IBM. Its design was started in late 1944, and it operated from January 1948 to August 1952. It had many of the features of a stored-program computer and was the first operational machine able to treat its instructions as data, but it was not fully electronic.","Foster City, California, United States","37.559617, -122.271845",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/IBM_SSEC_block_diagram.jpg/800px-IBM_SSEC_block_diagram.jpg,https://en.wikipedia.org/wiki/IBM_SSEC
Alan Turing suggests test of A.I,20/02/1947," Turing addressed the problem of artificial intelligence, and proposed an experiment that became known as the Turing test, an attempt to define a standard for a machine to be called ""intelligent"". The idea was that a computer could be said to ""think"" if a human interrogator could not tell it apart, through conversation, from a human being. In 1948 Turing, working with his former undergraduate colleague, D.G. Champernowne, began writing a chess program for a computer that did not yet exist.","Maida Vale, London, United Kingdom","51.531156, -0.185879",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Alan_Turing_Aged_16.jpg/440px-Alan_Turing_Aged_16.jpg,https://en.wikipedia.org/wiki/Alan_Turing
Apollo Computer is incorporated,13/02/1980,"Apollo machines used a proprietary operating system, Aegis, because of the excessive cost of single CPU Unix licenses at the time of system definition. Aegis, like Unix, was based on concepts from the Multics time sharing operating system. It used the concepts of shell programming (à la Stephen Bourne), single level store, and object-oriented design. Aegis was written in a proprietary version of Pascal.
The dual 68000 processor design was to provide automatic page fault switching, with one processor acting as a watchdog, while the other executed the OS and program instructions.","Chelmsford, Massachusetts, United States","42.600445, -71.366095",https://upload.wikimedia.org/wikipedia/commons/3/33/Dn330.jpg,https://en.wikipedia.org/wiki/Apollo_Computer
First Tweet is sent,21/03/2006,"The first tweet was posted by Jack Dorsey (creator) at 12:50 PM PST on March 21, 2006 and read ""just setting up my twttr"".","San Francisco, California, United States","37.776659, -122.417104",https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Twitter_bird_logo_2012.svg/200px-Twitter_bird_logo_2012.svg.png,https://en.wikipedia.org/wiki/Twitter
Excel Spreadsheet released - 4.0,25/03/1992,"Introduced auto-fill. Also, an easter egg in Excel 4.0 reveals a hidden animation of a dancing set of numbers 1 through 3, representing Lotus 1-2-3, which was then crushed by an Excel logo.","San Francisco, California, United States","37.776830, -122.416613",https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Microsoft_Excel.png/600px-Microsoft_Excel.png,https://en.wikipedia.org/wiki/Microsoft_Excel#Early_history
HP co-founder dies,26/03/1996," David Packard was an American electrical engineer and co-founder, with William Hewlett, of Hewlett-Packard (1939), serving as president (1947–64), CEO (1964–68), and Chairman of the Board (1964–68, 1972–93) of HP. He served as U.S. Deputy Secretary of Defense from 1969 to 1971 during the Nixon administration. Packard served as President of the Uniformed Services University of the Health Sciences (USU) from 1976 to 1981 and chairman of its Board of Regents from 1973 to 1982. He was a member of the Trilateral Commission. Packard was the recipient of the Presidential Medal of Freedom in 1988 and is noted for many technological innovations and philanthropic endeavors.","Stanford, California, United States","37.424796, -122.167981",https://upload.wikimedia.org/wikipedia/en/6/6a/David_Packard.jpg,https://en.wikipedia.org/wiki/David_Packard
"""Pentium"" chip shipped by Intel",22/03/1993,The original Intel P5 or Pentium and Pentium MMX processors were the superscalar follow-on to the 80486 processor and were marketed from 1993 to 1999. Some versions of these were available as Pentium OverDrive that would fit into older CPU sockets.,"San Jose, California, United States","37.387318, -121.963884",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Pentium_1993.png/440px-Pentium_1993.png,https://en.wikipedia.org/wiki/Pentium
Microsoft is sued by Apple,17/03/1988,"Apple Computer, Inc. v. Microsoft Corporation, was a copyright infringement lawsuit in which Apple Computer, Inc. (now Apple Inc.) sought to prevent Microsoft and Hewlett-Packard from using visual graphical user interface (GUI) elements that were similar to those in Apple's Lisa and Macintosh operating systems.","Washington, United States","38.890851, -77.004397",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Seal_of_the_United_States_Court_of_Appeals_for_the_Ninth_Circuit.svg/360px-Seal_of_the_United_States_Court_of_Appeals_for_the_Ninth_Circuit.svg.png,"https://en.wikipedia.org/wiki/Apple_Computer,_Inc._v._Microsoft_Corp."
Windows 3.1 released,06/04/1992,"Windows 3.1, released on April 6, 1992, introduced a TrueType font system (and a set of highly legible fonts), which effectively made Windows a viable desktop publishing platform for the first time. Similar functionality was available for Windows 3.0 through Adobe Type Manager (ATM) font system from Adobe.",California,"38.579234, -121.488475",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Windows_logo_-_1992.svg/120px-Windows_logo_-_1992.svg.png,https://en.wikipedia.org/wiki/Windows_3.1x
Calculator used in space - HP-41,12/04/1981,"HP-41Cs with some special hardware configurations (the addition of Velcro strips, pre-production time module, and louder beeper, as well as the removal of parts whose outgassing could cause contamination) were carried on early Shuttle missions for the purpose of performing mundane but necessary calculations, such as calculating the change to the center of gravity due to fuel consumption. ",Nasa,"34.250532, -118.503079",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/HP-41CX.jpg/220px-HP-41CX.jpg,https://en.wikipedia.org/wiki/HP-41C#Use_on_the_Space_Shuttle
Harvard Mark I is operating,17/04/1944,"The IBM Automatic Sequence Controlled Calculator (ASCC), called Mark I by Harvard University’s staff, was a general purpose electromechanical computer that was used in the war effort during the last part of World War II.",Harvard,"42.378428, -71.116190",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Harvard_Mark_I_Computer_-_Left_Segment.jpg/250px-Harvard_Mark_I_Computer_-_Left_Segment.jpg,https://en.wikipedia.org/wiki/Harvard_Mark_I
Softcard by Microsoft in announced,02/04/1980,"The Z-80 SoftCard is a plug-in coprocessor card developed by Microsoft to turn the Apple II personal computer into a CP/M system based upon the Zilog Z80 CPU. Becoming the most popular CP/M platform and Microsoft's top revenue source for 1980, it was eventually renamed the Microsoft SoftCard and was succeeded by Microsoft's Premium Softcard IIe for the Apple IIe.",Microsoft,"32.875848, -117.206728",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Microsoft_Softcard_Z80_coprocessor_for_Apple_II.jpg/300px-Microsoft_Softcard_Z80_coprocessor_for_Apple_II.jpg,https://en.wikipedia.org/wiki/Z-80_SoftCard
Designer of Mechanical Calculator is born,22/04/1592,"Schickard's machine was the first of several designs of direct entry calculating machines in the 17th century (including the designs of Blaise Pascal, Tito Burattini, Samuel Morland and René Grillet).","Herrenberg, Germany","48.595414, 8.868396",https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/C_Melperger_-_Wilhelm_Schickard_1632.jpg/220px-C_Melperger_-_Wilhelm_Schickard_1632.jpg,https://en.wikipedia.org/wiki/Wilhelm_Schickard
Inventor of Interactive Computer Graphics is born,16/05/1938,"Ivan Edward Sutherland (born May 16, 1938) is an American computer scientist and Internet pioneer, widely regarded as the ""father of computer graphics"". His early work in computer graphics as well as his teaching with David C. Evans in that subject at the University of Utah in the 1970s was pioneering in the field. Sutherland, Evans, and their students from that era invented several foundations of modern computer graphics.","Hastings, Nebraska, United States","40.586739, -98.391746",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ivan_Sutherland_at_CHM.jpg/220px-Ivan_Sutherland_at_CHM.jpg,https://en.wikipedia.org/wiki/Ivan_Sutherland
Apple cube shop opens,19/05/2006,"The opening of New York City's Fifth Avenue Cube store in 2006 became the setting of a marriage proposal, and had visitors from Europe who flew in for the event.","Madison Square Garden, New York","40.764905, -73.972907",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/95px-Apple_logo_black.svg.png,https://en.wikipedia.org/wiki/Apple_Store
ENIAC contract is signed,17/05/1943,"Us army and University of Pennsylvania Sign Contract to Develop ENIAC.ENIAC (/ˈɛniæk/; Electronic Numerical Integrator and Computer) was the first electronic general-purpose digital computer. It was Turing-complete, and able to solve ""a large class of numerical problems"" through reprogramming. Although ENIAC was designed and primarily used to calculate artillery firing tables for the United States Army's Ballistic Research Laboratory (which later became a part of the Army Research Laboratory), its first program was a study of the feasibility of the thermonuclear weapon.",University of Pennsylvania,"39.952169, -75.193257",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/ENIAC_Penn1.jpg/220px-ENIAC_Penn1.jpg,https://en.wikipedia.org/wiki/ENIAC
Committee to develop COBOL is formed,28/05/1959,"COBOL (/ˈkoʊbɒl, -bɔːl/; an acronym for ""common business-oriented language"") is a compiled English-like computer programming language designed for business use. It is imperative, procedural and, since 2002, object-oriented. COBOL is primarily used in business, finance, and administrative systems for companies and governments.","Computer History Museum, United States","37.414967, -122.077016",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/COBOL_Report_Apr60.djvu/page1-200px-COBOL_Report_Apr60.djvu.jpg,https://en.wikipedia.org/wiki/COBOL
First WWW International Conference,25/05/1994," It was held on May 25 to 27, 1994 in Geneva, Switzerland. The conference had 380 participants, who were accepted out of 800 applicants. It has been referred to as the ""Woodstock of the Web"".","Geneva, Switzerland","46.204018, 6.143745",https://upload.wikimedia.org/wikipedia/en/2/2b/World_Wide_Web_Conference_1_%28logo%29.gif,https://en.wikipedia.org/wiki/First_International_Conference_on_the_World-Wide_Web
Blaise Pascal is born,19/06/1623,"In honour of his scientific contributions, the name Pascal has been given to the SI unit of pressure, to a programming language, and Pascal's law (an important principle of hydrostatics), and as mentioned above, Pascal's triangle and Pascal's wager still bear his name.","Clermont-Ferrand, France","45.777187, 3.087543",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/220px-Blaise_Pascal_Versailles.JPG,https://en.wikipedia.org/wiki/Blaise_Pascal
Alan Turing is born,23/06/1912,"Turing was highly influential in the development of theoretical computer science, providing a formalisation of the concepts of algorithm and computation with the Turing machine, which can be considered a model of a general-purpose computer.","Maida Vale, London, United Kingdom","51.529610, -0.186658",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Alan_Turing_Aged_16.jpg/220px-Alan_Turing_Aged_16.jpg,https://en.wikipedia.org/wiki/Alan_Turing
Inventor of first algorithmic programming language is born,22/06/1910,"The very first attempt to devise an algorithmic language was undertaken in 1948 by K. Zuse. His notation was quite general, but the proposal never attained the consideration it deserved"". Further implementations followed in 1998 and then in 2000 by a team from the Free University of Berlin.","Berlin, Germany","52.520551, 13.404813",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Konrad_Zuse_%281992%29.jpg/220px-Konrad_Zuse_%281992%29.jpg,https://en.wikipedia.org/wiki/Konrad_Zuse
